月租費,一天用時,0.1Mbps,0.15Mbps,0.5Mbps,1.0Mbps,1.5Mbps,一月用量
5,(2) 1~2小時 ? ?1 to 2 hours,1,3,1,3,4,(5) 1.5GB以上 ? ?over 1.5GB
5,(4) 3小時以上 ? ?over 3 hours,3,5,2,3,4,(4) 1GB~1.5GB
4,(4) 3小時以上 ? ?over 3 hours,3,4,4,3,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(2) 1~2小時 ? ?1 to 2 hours,4,2,1,1,5,(4) 1GB~1.5GB
4,(2) 1~2小時 ? ?1 to 2 hours,2,1,1,2,1,(4) 1GB~1.5GB
4,(3) 2~3小時 ? ?2 to 3 hours,1,1,1,1,4,(5) 1.5GB以上 ? ?over 1.5GB
4,(4) 3小時以上 ? ?over 3 hours,2,2,2,2,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(1) 1小時以下 ? ?below 1 hour,3,3,4,2,2,(3) 500MB~1GB
4,(4) 3小時以上 ? ?over 3 hours,3,1,2,4,4,(5) 1.5GB以上 ? ?over 1.5GB
5,(1) 1小時以下 ? ?below 1 hour,4,1,1,1,2,(3) 500MB~1GB
5,(4) 3小時以上 ? ?over 3 hours,1,1,1,1,1,(5) 1.5GB以上 ? ?over 1.5GB
3,(4) 3小時以上 ? ?over 3 hours,2,1,2,2,1,(4) 1GB~1.5GB
4,(4) 3小時以上 ? ?over 3 hours,3,1,2,1,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(3) 2~3小時 ? ?2 to 3 hours,1,1,1,1,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(4) 3小時以上 ? ?over 3 hours,1,1,1,1,1,(5) 1.5GB以上 ? ?over 1.5GB
4,(4) 3小時以上 ? ?over 3 hours,3,3,3,3,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(2) 1~2小時 ? ?1 to 2 hours,2,4,2,2,4,(3) 500MB~1GB
3,(2) 1~2小時 ? ?1 to 2 hours,1,3,3,1,1,(4) 1GB~1.5GB
5,(4) 3小時以上 ? ?over 3 hours,1,1,1,1,1,(5) 1.5GB以上 ? ?over 1.5GB
5,(2) 1~2小時 ? ?1 to 2 hours,1,1,1,1,1,(5) 1.5GB以上 ? ?over 1.5GB
5,(2) 1~2小時 ? ?1 to 2 hours,3,4,3,3,3,(2) 200MB~500MB
5,(4) 3小時以上 ? ?over 3 hours,5,5,5,5,5,(5) 1.5GB以上 ? ?over 1.5GB
5,(1) 1小時以下 ? ?below 1 hour,1,3,1,3,3,(4) 1GB~1.5GB
5,(2) 1~2小時 ? ?1 to 2 hours,4,4,4,4,4,(5) 1.5GB以上 ? ?over 1.5GB
5,(4) 3小時以上 ? ?over 3 hours,1,1,1,5,5,(5) 1.5GB以上 ? ?over 1.5GB
5,(3) 2~3小時 ? ?2 to 3 hours,1,1,2,3,2,(4) 1GB~1.5GB
5,(4) 3小時以上 ? ?over 3 hours,1,1,5,1,3,(4) 1GB~1.5GB
5,(1) 1小時以下 ? ?below 1 hour,3,3,3,3,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(3) 2~3小時 ? ?2 to 3 hours,1,1,1,1,1,(5) 1.5GB以上 ? ?over 1.5GB
4,(1) 1小時以下 ? ?below 1 hour,1,1,1,1,1,(5) 1.5GB以上 ? ?over 1.5GB
2,(2) 1~2小時 ? ?1 to 2 hours,4,1,2,3,1,(5) 1.5GB以上 ? ?over 1.5GB
4,(2) 1~2小時 ? ?1 to 2 hours,1,1,1,1,1,(4) 1GB~1.5GB
5,(3) 2~3小時 ? ?2 to 3 hours,2,2,2,2,2,(3) 500MB~1GB
3,(1) 1小時以下 ? ?below 1 hour,1,3,3,3,3,(3) 500MB~1GB
3,(4) 3小時以上 ? ?over 3 hours,3,1,4,4,4,(5) 1.5GB以上 ? ?over 1.5GB
5,(4) 3小時以上 ? ?over 3 hours,1,1,1,3,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(1) 1小時以下 ? ?below 1 hour,1,3,1,3,3,(1) 200MB以下 ? ?below 200MB
5,(3) 2~3小時 ? ?2 to 3 hours,3,4,4,3,3,(5) 1.5GB以上 ? ?over 1.5GB
5,(3) 2~3小時 ? ?2 to 3 hours,3,2,2,3,3,(1) 200MB以下 ? ?below 200MB
5,(4) 3小時以上 ? ?over 3 hours,1,3,1,1,3,(5) 1.5GB以上 ? ?over 1.5GB
